,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio
2008-04-02,61.47999954223633,61.47999954223633,61.47999954223633,61.47999954223633,0.0,61.47999954223633,1945.0,6.0,1985.0,18558.0,18604.0,686.0,302.0,405.0,2306.0,2208.0,147192.0,163444.0,1.1104060655058325,,,
2008-04-03,61.40999984741211,61.40999984741211,61.40999984741211,61.40999984741211,0.0,61.40999984741211,558.0,32.0,610.0,18474.0,18558.0,291.0,93.0,263.0,2466.0,2306.0,147651.0,163659.0,1.1084103161487824,,,
2008-04-07,62.209999084472656,62.209999084472656,62.209999084472656,62.209999084472656,0.0,62.209999084472656,844.0,25.0,1145.0,18148.0,18474.0,331.0,366.0,708.0,2808.0,2466.0,148477.0,163817.0,1.103308234216517,,,
2008-04-08,61.79999923706055,61.79999923706055,61.79999923706055,61.79999923706055,0.0,61.79999923706055,992.0,5.0,651.0,18484.0,18148.0,186.0,62.0,235.0,2981.0,2808.0,147016.0,162519.0,1.1054435881564717,,,
2008-04-09,61.630001068115234,61.630001068115234,61.630001068115234,61.630001068115234,0.0,61.630001068115234,1712.0,30.0,731.0,19435.0,18484.0,382.0,385.0,411.0,3007.0,2981.0,144940.0,161368.0,1.113335771106864,,,
2008-04-10,62.86000061035156,62.86000061035156,62.86000061035156,62.86000061035156,0.0,62.86000061035156,4302.0,53.0,1984.0,21700.0,19435.0,943.0,343.0,479.0,3143.0,3007.0,141300.0,159857.0,1.1313224959483656,,,
2008-04-11,63.650001525878906,63.650001525878906,63.650001525878906,63.650001525878906,0.0,63.650001525878906,2090.0,0.0,4099.0,19691.0,21700.0,377.0,322.0,460.0,3281.0,3143.0,140309.0,156719.0,1.116948186159219,,,
2008-04-14,63.220001220703125,63.220001220703125,63.220001220703125,63.220001220703125,0.0,63.220001220703125,1426.0,0.0,1192.0,19925.0,19691.0,485.0,251.0,357.0,3382.0,3281.0,140075.0,156618.0,1.1180930352094578,,,
2008-04-15,63.27000045776367,63.27000045776367,63.27000045776367,63.27000045776367,0.0,63.27000045776367,531.0,0.0,1034.0,19422.0,19925.0,186.0,183.0,156.0,3355.0,3382.0,140453.0,156520.0,1.1143862047360702,,,
2008-04-16,64.30999755859375,64.30999755859375,64.30999755859375,64.30999755859375,0.0,64.30999755859375,584.0,28.0,2277.0,17701.0,19422.0,328.0,302.0,626.0,3679.0,3355.0,141549.0,155571.0,1.0990533380430942,,,
2008-04-17,64.75,64.75,64.75,64.75,0.0,64.75,1080.0,200.0,2703.0,15878.0,17701.0,349.0,452.0,633.0,3860.0,3679.0,142247.0,154265.0,1.0844792193914854,,,
2008-04-18,64.41999816894531,64.41999816894531,64.41999816894531,64.41999816894531,0.0,64.41999816894531,786.0,0.0,640.0,16024.0,15878.0,238.0,574.0,194.0,3450.0,3860.0,142101.0,154675.0,1.088478698399741,,,
2008-04-21,64.7300033569336,64.7300033569336,64.7300033569336,64.7300033569336,0.0,64.7300033569336,690.0,7.0,1699.0,15008.0,16024.0,182.0,211.0,382.0,3621.0,3450.0,143117.0,154504.0,1.0795567294120936,,,
2008-04-22,64.2300033569336,64.2300033569336,64.2300033569336,64.2300033569336,0.0,64.2300033569336,690.0,350.0,780.0,14568.0,15008.0,229.0,480.0,132.0,3273.0,3621.0,143307.0,154602.0,1.078809277918888,,,
2008-04-23,63.61000061035156,63.61000061035156,63.61000061035156,63.61000061035156,0.0,63.61000061035156,844.0,52.0,528.0,14832.0,14568.0,411.0,231.0,127.0,3169.0,3273.0,144293.0,155956.0,1.080821101362496,,,
2008-04-24,63.400001525878906,63.400001525878906,63.400001525878906,63.400001525878906,0.0,63.400001525878906,753.0,0.0,329.0,15256.0,14832.0,270.0,165.0,122.0,3126.0,3169.0,144244.0,156374.0,1.0840861035044542,,,
2008-04-25,63.31999969482422,63.31999969482422,63.31999969482422,63.31999969482422,0.0,63.31999969482422,902.0,30.0,810.0,15318.0,15256.0,207.0,126.0,240.0,3226.0,3126.0,144932.0,157024.0,1.0834247548867408,,,
2008-04-28,64.66999816894531,64.66999816894531,64.66999816894531,64.66999816894531,0.0,64.66999816894531,297.0,16.0,1229.0,14370.0,15318.0,349.0,150.0,248.0,3324.0,3226.0,145880.0,156926.0,1.075712395719799,,,
2008-04-29,63.220001220703125,63.220001220703125,63.220001220703125,63.220001220703125,0.0,63.220001220703125,656.0,0.0,1319.0,13707.0,14370.0,401.0,276.0,282.0,3330.0,3324.0,146543.0,156920.0,1.0708046729992358,,,
2008-04-30,63.560001373291016,63.560001373291016,63.560001373291016,63.560001373291016,0.0,63.560001373291016,458.0,1.0,373.0,13791.0,13707.0,188.0,132.0,122.0,3320.0,3330.0,147459.0,157930.0,1.071002305710023,,,
2008-05-02,63.880001068115234,63.880001068115234,63.880001068115234,63.880001068115234,0.0,63.880001068115234,920.0,15.0,651.0,14045.0,13791.0,294.0,227.0,91.0,3184.0,3320.0,148830.0,159691.0,1.0729686691616667,,,
